Date,Device,Resource,Avg_Util_(%),Peak_Hourly_Avg_Util_(%),Peak_Util_(%),Avg_Discards_(%)
08-06-2023,AMRPSTLMO01CS01-01,AMRPSTLMO01CS01-01_E3/1_437256192_to stl-ibmamplsrta gi3/6,3017.38,50670.79,260102.43,0.0
08-06-2023,AMRPSTLMO01CS01-01,AMRPSTLMO01CS01-01_E4/1_437780480_to stl-ibmamplsrtb gi3/6,848.77,20304.16,243632.22,0.0
08-06-2023,AMRPLEXKY01CS01-01,AMRPLEXKY01CS01-01_E4/1_437780480_to lex-ibmamplsrtb gi3/6,844.71,10130.42,121590.39,0.0
08-06-2023,AMRPLEXKY01CS01-01,AMRPLEXKY01CS01-01_E3/1_437256192_to lex-ibmamplsrta gi3/6,520.52,6239.91,74875.66,0.0
08-06-2023,AMRPLEXKY01AS02-01,AMRPLEXKY01AS02-01_E1/2_436208128_to AMRPLEXKY01AG04-01 e3/11,447.72,3581.66,21489.9,0.0
08-06-2023,AMRPLEXKY01AS11-01,AMRPLEXKY01AS11-01_E1/4_436209152_to AMRPLEXKY01AS12-01 e1/3-4,334.23,3438.11,27496.45,0.0
08-06-2023,AMRPLEXKY01CS02-01,AMRPLEXKY01CS02-01_E4/1_437780480_to lex-ibmamplsrta gi3/46,322.25,7720.54,92640.58,0.0
08-06-2023,AMRPLEXKY01AS11-01,AMRPLEXKY01AS11-01_E1/7_436210688_AS11-01fx101,260.38,2081.13,12500.31,0.0
08-06-2023,AMRPLEXKY01AS02-01,AMRPLEXKY01AS02-01_port-channel31_369098782_to AMRPLEXKY01AG3-01 e1/1-2 AG04 e3/,259.78,2350.61,21418.57,0.0
08-06-2023,AMRPLEXKY01AS11-01,AMRPLEXKY01AS11-01_E1/2_436208128_to AMRPLEXKY01AG04-01 e4/15,253.46,1521.73,18265.14,0.0
08-06-2023,AMRPLEXKY01AS07-01,AMRPLEXKY01AS07-01_E1/2_436208128_to AMRPLEXKY01AG04-01 e4/13,249.69,3993.88,23963.82,0.0
08-06-2023,AMRPLEXKY01AS13-01,AMRPLEXKY01AS13-01_E1/11_436212736_AS13-01fx103,240.22,1648.39,9893.26,0.0
08-06-2023,AMRPLEXKY01AS11-01,AMRPLEXKY01AS11-01_port-channel1_369098752_e1/3-4 to AMRPLEXKY01AS12-01 e1/3-4,218.41,2367.66,18874.24,0.0
08-06-2023,AMRPLEXKY01AS02-01,AMRPLEXKY01AS02-01_E1/3_436208640_to AMRPLEXKY01AS01-01 e1/3-4,206.27,4123.36,29687.18,0.0
08-06-2023,AMRPLEXKY01AS12-01,AMRPLEXKY01AS12-01_E1/2_436208128_to AMRPLEXKY01AG04-01 e3/15,201.29,3215.66,38586.51,0.0
08-06-2023,AMRPLEXKY01AS02-01,AMRPLEXKY01AS02-01_E1/20_436217344_AS01-01fx114,200.8,3195.56,19465.82,0.0
08-06-2023,AMRPLEXKY01AS02-01,AMRPLEXKY01AS02-01_E1/19_436216832_AS01-01fx114,197.87,1595.66,9577.99,0.0
08-06-2023,AMRPLEXKY01AS11-01,AMRPLEXKY01AS11-01_E1/3_436208640_to AMRPLEXKY01AS12-01 e1/3-4,197.45,4719.74,37747.4,0.0
08-06-2023,AMRPLEXKY01CS02-01,AMRPLEXKY01CS02-01_E3/1_437256192_to lex-ibmamplsrtb gi3/46,183.55,4385.85,52624.07,0.0
08-06-2023,AMRPLEXKY01AS11-01,AMRPLEXKY01AS11-01_port-channel11_369098762_to AMRPLEXKY01AG3-01 e1/1-2 AG03 e3/,181.94,1423.45,17027.04,0.0
08-06-2023,AMRPLEXKY01AS02-01,AMRPLEXKY01AS02-01_E1/21_436217856_AS01-01fx114,173.4,1280.05,11486.17,0.0
08-06-2023,AMRPLEXKY01AS02-01,AMRPLEXKY01AS02-01_port-channel114_369098865_AS01-01fx114,171.96,1509.81,8895.45,0.0
08-06-2023,AMRPLEXKY01AS08-01,AMRPLEXKY01AS08-01_E1/13_436213760_AS07-01fx108,168.09,4029.38,48350.5,0.0
08-06-2023,AMRPSTLMO01AS13-01,AMRPSTLMO01AS13-01_E1/26_436220416_AS13-01fx111,164.75,349.13,360.49,0.0
08-06-2023,AMRPLEXKY01AS02-01,AMRPLEXKY01AS02-01_E1/22_436218368_AS01-01fx114,162.72,1561.71,9372.89,0.0
08-06-2023,AMRPSTLMO01AS02-01,AMRPSTLMO01AS02-01_E1/1_436207616_to AMRPSTLMO01AG03-01 e4/11,160.99,645.7,7745.69,0.0
08-06-2023,AMRPLEXKY01AS02-01,AMRPLEXKY01AS02-01_E1/15_436214784_AS01-01fx110,155.4,1813.87,7258.39,0.0
08-06-2023,AMRPLEXKY01AS02-01,AMRPLEXKY01AS02-01_E1/4_436209152_to AMRPLEXKY01AS01-01 e1/3-4,144.67,1158.02,6947.76,0.0
08-06-2023,AMRPLEXKY01AS02-01,AMRPLEXKY01AS02-01_port-channel1_369098752_e1/3-4 to AMRPLEXKY01AS01-01 e1/3-4,142.78,2172.33,26066.98,0.0
08-06-2023,AMRPLEXKY01AS02-01,AMRPLEXKY01AS02-01_E1/14_436214272_AS01-01fx108,141.89,1602.01,7187.42,0.0
08-06-2023,AMRPLEXKY01AS13-01,AMRPLEXKY01AS13-01_E1/24_436219392_AS13-01fx109,133.95,1154.98,11085.06,0.0
08-06-2023,AMRPLEXKY01AS11-01,AMRPLEXKY01AS11-01_port-channel101_369098852_AS11-01fx101,132.84,949.45,6587.38,0.0
08-06-2023,AMRPLEXKY01AS02-01,AMRPLEXKY01AS02-01_E1/7_436210688_AS01-01fx102,127.44,743.56,5959.25,0.0
08-06-2023,AMRPLEXKY01AS11-01,AMRPLEXKY01AS11-01_E1/6_436210176_AS11-01fx101,125.37,1204.05,7224.12,0.0
08-06-2023,AMRPLEXKY01AS07-01,AMRPLEXKY01AS07-01_port-channel7_369098758_to AMRPLEXKY01AG3-01 e1/1-2 AG03 e3/1,124.89,1993.75,12021.79,0.0
08-06-2023,AMRPLEXKY01AS12-01,AMRPLEXKY01AS12-01_E1/6_436210176_AS11-01fx102,118.46,2838.25,34057.86,0.0
08-06-2023,AMRPLEXKY01AS02-01,AMRPLEXKY01AS02-01_E1/11_436212736_AS01-01fx106,112.77,1448.37,10427.63,0.0
08-06-2023,AMRPLEXKY01AS11-01,AMRPLEXKY01AS11-01_E1/1_436207616_to AMRPLEXKY01AG03-01 e3/15,110.47,1325.17,15902.45,0.0
08-06-2023,AMRPSTLMO01AS02-01,AMRPSTLMO01AS02-01_port-channel31_369098782_to AMRPSTLMO01AG3-01 e1/1-2 AG04 e3/,107.11,640.55,7661.19,0.0
08-06-2023,AMRPLEXKY01AS01-01,AMRPLEXKY01AS01-01_E1/3_436208640_to AMRPLEXKY01AS02-01 e1/3-4,103.32,1651.59,19822.36,0.0
08-06-2023,AMRPLEXKY01AS12-01,AMRPLEXKY01AS12-01_port-channel11_369098762_to AMRPLEXKY01AG3-01 e1/1-2 AG04 e3/,100.78,1607.93,19293.36,0.0
08-06-2023,AMRPLEXKY01AS11-01,AMRPLEXKY01AS11-01_E1/5_436209664_AS11-01fx101,99.5,954.68,11455.98,0.0
08-06-2023,AMRPLEXKY01AS08-01,AMRPLEXKY01AS08-01_E1/2_436208128_to AMRPLEXKY01AG04-01 e3/13,95.43,2288.1,24217.96,0.0
08-06-2023,AMRPLEXKY01AS02-01,AMRPLEXKY01AS02-01_E1/1_436207616_to AMRPLEXKY01AG03-01 e4/11,92.92,1113.03,13354.04,0.0
08-06-2023,AMRPLEXKY01AS08-01,AMRPLEXKY01AS08-01_port-channel108_369098859_AS07-01fx108,90.18,2014.69,24256.11,0.0
08-06-2023,AMRPLEXKY01AS02-01,AMRPLEXKY01AS02-01_E1/8_436211200_AS01-01fx102,89.37,710.32,5540.07,0.0
08-06-2023,AMRPLEXKY01AS02-01,AMRPLEXKY01AS02-01_port-channel110_369098861_AS01-01fx110,86.95,777.37,4850.92,0.0
08-06-2023,AMRPLEXKY01AS02-01,AMRPLEXKY01AS02-01_port-channel108_369098859_AS01-01fx108,86.05,847.12,3593.71,0.0
08-06-2023,AMRPSTLMO01AS01-01,AMRPSTLMO01AS01-01_E1/1_436207616_to AMRPSTLMO01AG03-01 e3/11,84.01,672.78,8068.76,0.0
08-06-2023,AMRPLEXKY01AS02-01,AMRPLEXKY01AS02-01_E1/13_436213760_AS01-01fx108,82.49,757.7,3033.88,0.0
